22,BENI OUKIL/BOUARFA,65,666,SRID=3857;POINT (-203983.52043269467 4077711.9487232286),SRID=3857;POINT (-204000.43580747477 4077701.2777300207),150000,150000,93,Tiouli,HALT,LIN10.T001.TIOULI,NULL,67500,15,TIOULI,oui_selon PK
23,BENI OUKIL/BOUARFA,167,500,SRID=3857;POINT (-216604.54350747593 3971030.00470686),SRID=3857;POINT (-216566.28267801425 3971037.561751845),230000,230000,93,Jnane Rhater,HALT,LIN10.T001.J.RHATER,NULL,175000,23,JNAN KHATER,oui_selon PK
24,BENI OUKIL/BOUARFA,116,496,SRID=3857;POINT (-225136.32836055337 4031263.473508764),SRID=3857;POINT (-225160.2213061646 4031250.898646935),190000,190000,93,Ain Beni Mather,HALT,LIN10.T001.A.B.MATHAR,NULL,121600,19,AIN BENI MATHAR,oui
25,BENI OUKIL/BOUARFA,92,693,SRID=3857;POINT (-215895.48811055295 4052465.750016394),SRID=3857;POINT (-215889.21075222827 4052456.717033915),170000,170000,93,Mechraa El Harcha,HALT,LIN10.T001.M.LHARCHA,NULL,96000,17,MECHRA E HARCHA,oui_selon PK
26,BENI OUKIL/BOUARFA,141,171,SRID=3857;POINT (-221879.7333974344 4003476.115933977),SRID=3857;POINT (-221853.88017117136 4003478.874682206),210000,210000,93,Fouchal,HALT,LIN10.T001.FOUCHAL,NULL,147200,21,FOUCHEL,oui_selon PK
27,BENI OUKIL/BOUARFA,202,389,SRID=3857;POINT (-220612.81316250222 3927406.62244039),SRID=3857;POINT (-220612.81316250222 3927406.62244039),250000,250000,93,El Terarid,HALT,LIN10.T001.ELTERARID,NULL,202400,25,EL TRARID,oui_selon PK
28,BENI OUKIL/BOUARFA,307,642,SRID=3857;POINT (-218865.61458437578 3831594.5926828645),SRID=3857;POINT (-218855.7982520216 3831620.8155663656),400000,400000,93,Bouarfa,HALT,LIN10.T001.BOUARFA,NULL,304400,40,BOUARFA,Ã  verifier
29,BENI OUKIL/BOUARFA,52,252,SRID=3857;POINT (-210956.68185784298 4089163.7666199114),SRID=3857;POINT (-210949.76268556953 4089180.383630926),130000,130000,93,Oued El Heimer,HALT,LIN10.T001.OD.LHEIMER,NULL,53300,13,OUED ELHEIMER,oui_selon PK
30,BENI OUKIL/BOUARFA,226,301,SRID=3857;POINT (-216540.4543854805 3900227.250315169),SRID=3857;POINT (-216510.35728523735 3900207.4977316177),300000,300000,93,Tendrara,HALT,LIN10.T001.TENDRARA,NULL,237100,30,TENDRARA,oui_selon PK
31,Bni.Ansart_Taourirt,27,771,SRID=3857;POINT (-327224.5483879894 4170600.2643736606),SRID=3857;POINT (-327208.9533059549 4170603.8411622113),6680000,6680000,93,Selouane,STATION,LIN05.T001.SELOUANE,COMMERCIALE,27760,368,SELOUANE,oui
32,Bni.Ansart_Taourirt,50,422,SRID=3857;POINT (-323229.94232885155 4146032.5684880703),SRID=3857;POINT (-323211.40975366224 4146025.0489364313),6700000,6700000,93,Hassi Berkane,STATION,LIN05.T001.H.BERKANE,COMMERCIALE,50470,368,SELOUANE,oui
33,Bni.Ansart_Taourirt,89,148,SRID=3857;POINT (-336239.46823038784 4105873.265111285),SRID=3857;POINT (-336250.68439586886 4105863.3053104887),6740000,6740000,93,Melg El Ouidane,STATION,LIN05.T001.MG.OUIDANE,COMMERCIALE,89150,451,TAOURIRT,oui
34,Bni.Ansart_Taourirt,13,57,SRID=3857;POINT (-329426.36670216784 4186097.097242941),SRID=3857;POINT (-329432.50935922854 4186111.87113086),6660000,6660000,93,Nador Sud,STATION,LIN05.T001.NADORSUD,COMMERCIALE,13000,510,NADOR,oui
35,Bni.Ansart_Taourirt,64,609,SRID=3857;POINT (-332364.41219088563 4133423.4060376384),SRID=3857;POINT (-332378.32837484695 4133424.9356859494),6720000,6720000,93,Oulad Rahou,STATION,LIN05.T001.OLADRAHOU,COMMERCIALE,64620,368,SELOUANE,oui
36,Bni.Ansart_Taourirt,"-1,300",0,SRID=3857;POINT (-326218.1166 4200001.1351),SRID=3857;POINT (-326226.4157480002 4199997.653126067),6600000B,6600000B,93,Beni Ansar Port,STATION,LIN05.T002.B.NSARPT,COMMERCIALE,1200,510,NADOR,oui
37,Bni.Ansart_Taourirt,1,507,SRID=3857;POINT (-326401.8749619124 4197042.18885145),SRID=3857;POINT (-326420.5336563635 4197045.773976466),6620000,6620000,93,Beni Ansar,STATION,LIN05.T001.BENIANSAR,COMMERCIALE,1440,510,NADOR,oui
38,CASA VOYAGEURS/MARRAKECH,18,454,SRID=3857;POINT (-851766.7621624982 3956676.094288212),SRID=3857;POINT (-851788.8399295119 3956664.3651704406),1870000,1870000,93,Bouskoura,STATION,LIN06.T001.BOUSKOURA,COMMERCIALE,18500,187,BOUSKOURA,oui
39,CASA VOYAGEURS/MARRAKECH,72,754,SRID=3857;POINT (-848640.3264001227 3894498.954083484),SRID=3857;POINT (-848624.5317033394 3894507.58701772),1390000,1390000,93,Settat,STATION,LIN06.T001.SETTAT,COMMERCIALE,72800,139,SETTAT,oui
40,BENGUERIR/SAFI U,98,0,SRID=3857;POINT (-988478.0142310741 3794761.2450983296),SRID=3857;POINT (-988476.628923746 3794769.124243182),690000,690000,,El Oglat,Haltes,LIN07.T001.ELOGLAT,,98000,0,,
41,BENGUERIR/SAFI U,10,0,SRID=3857;POINT (-896166.731129629 3791207.408124344),SRID=3857;POINT (-896164.4577110078 3791215.0782982516),840000,840000,,Sidi Azzouz,,LIN07.T002.S.AZZOUZ,,10000,0,,
42,BENGUERIR/SAFI U,5,900,SRID=3857;POINT (-891565.9026003428 3792035.191797906),SRID=3857;POINT (-891570.4412086589 3792041.779744062),570032,570032,,Maroc Chimie,,LIN07.T001.MAROCCHI,,5900,0,,
43,CASA VOYAGEURS/MARRAKECH,128,981,SRID=3857;POINT (-870101.025703289 3839465.188756628),SRID=3857;POINT (-870133.9080496687 3839467.9728716705),1260000,1260000,93,Sidi Abdellah,STATION,LIN06.T001.S.ABDALLAH,COMMERCIALE,128800,126,SIDI ABDELLAH,oui
44,CASA VOYAGEURS/MARRAKECH,172,732,SRID=3857;POINT (-885957.0736955558 3795708.746503439),SRID=3857;POINT (-885930.4502024533 3795700.075308883),1200000,1200000,93,Benguerir,STATION,ND.LIN06-T001-BGR,COMMERCIALE,172700,120,BEN GUERIR,oui
45,CASA VOYAGEURS/MARRAKECH,41,829,SRID=3857;POINT (-845179.3837486743 3929916.5137015707),SRID=3857;POINT (-845164.3994947379 3929915.8265815172),1830000,1830000,93,Berrechid,STATION,LIN06.T001.BERRECHID,COMMERCIALE,41800,183,BERRECHID,oui
46,CASA VOYAGEURS/MARRAKECH,49,572,SRID=3857;POINT (-847752.6036944501 3921232.3646009606),SRID=3857;POINT (-847731.8327234025 3921229.2715827357),1810000,1810000,93,Bou Farrouj,HALT,LIN06.T001.BOUFARROUJ,NULL,49600,181,SIDI BOUFARROUJ,oui
47,CASA VOYAGEURS/MARRAKECH,209,75,SRID=3857;POINT (-884605.8092208074 3753210.480340153),SRID=3857;POINT (-884582.1255123696 3753206.5967909214),1160000,1160000,93,Sidi Bou Othmane,STATION,ND.LIN06-T001-SBO,COMMERCIALE,209100,116,SIDI BOU OTHMAN,oui
48,CASA VOYAGEURS/MARRAKECH,94,573,SRID=3857;POINT (-859761.240065955 3872419.053787027),SRID=3857;POINT (-859783.0490288528 3872421.9467331585),1350000,1350000,93,El Khemisset,STATION,LIN06.T001.KHEMISSET,COMMERCIALE,94500,1001,EL KHEMISSET,oui
49,CASA VOYAGEURS/MARRAKECH,28,801,SRID=3857;POINT (-848680.4631589282 3945104.319147949),SRID=3857;POINT (-848646.5506961131 3945106.7573575014),1850000,1850000,93,En Nouasser,STATION,LIN06.T001.NOUASSER,COMMERCIALE,28700,185,NOUACEUR,oui
50,CASA VOYAGEURS/MARRAKECH,104,675,SRID=3857;POINT (-865218.7283672998 3861940.219872185),SRID=3857;POINT (-865243.9188174907 3861952.444487483),1330000,1330000,93,Im Fout,HALT,LIN06.T001.IMFOUT,NULL,104500,133,IMFOUT,oui
51,CASA VOYAGEURS/MARRAKECH,225,808,SRID=3857;POINT (-890042.763219953 3735809.474513628),SRID=3857;POINT (-890014.7122788327 3735802.116205245),1120000,1120000,93,Koudia El Beida,HALT,ND.LIN06-T001-KEB,NULL,225900,115,KOUDIA EL BEIDA,oui
52,CASA VOYAGEURS/MARRAKECH,146,293,SRID=3857;POINT (-880726.8031047371 3825075.786763346),SRID=3857;POINT (-880743.849340299 3825089.694525681),1240000,1240000,93,Les Skhour,STATION,ND.LIN06-T001-LSK,COMMERCIALE,146300,124,LES SKHOURS,oui
53,CASA VOYAGEURS/MARRAKECH,117,815,SRID=3857;POINT (-866934.013592479 3849346.373535504),SRID=3857;POINT (-866932.6904679576 3849333.4410438067),1280000,1280000,93,Mechraa ben Abbou,STATION,LIN06.T001.M.B.ABBOU,COMMERCIALE,117600,128,MECHRAA B.ABOU,oui
54,CASA VOYAGEURS/MARRAKECH,189,908,SRID=3857;POINT (-885469.307131285 3775741.861840312),SRID=3857;POINT (-885443.4132127041 3775739.5155708194),1180000,1180000,93,N'Zalat Laadam,STATION,ND.LIN06-T001-NZA,COMMERCIALE,189900,118,MZALET LAADAM,oui
55,CASA VOYAGEURS/MARRAKECH,11,703,SRID=3857;POINT (-852811.5305601923 3963574.701917341),SRID=3857;POINT (-852785.0287095525 3963555.0384508953),1890000,1890000,93,Sidi Maarouf,HALT,LIN06.T001.S.MAAROUF,NULL,11700,201,CASABLANCA,oui
56,CASA VOYAGEURS/MARRAKECH,239,623,SRID=3857;POINT (-893926.7158174703 3720880.4532067263),SRID=3857;POINT (-893860.0289612857 3720867.1542138243),2404001,2404001,93,Sidi Ghanem,HALT,ND.LIN06-T001-PSG,NULL,240400,110,MARRAKECH,oui
